"","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Z_CostContact","Z_Revenue","Response","Age","Total_Purchaase","Is_Parent","Has_Partner","Family_Size","campaign_participation","cluster"
"26",1976,"Graduate","Married",53359,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,38,263,1,1,3,0,"1"
"27",1989,"Graduate","Married",38360,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,25,152,1,1,2,0,"1"
"28",1965,"Postgraduate","Married",84618,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,49,1738,0,1,1,1,"3"
"29",1989,"Postgraduate","Divorced",10979,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,25,32,0,0,0,0,"4"
"30",1963,"Postgraduate","Together",38620,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,51,340,0,1,1,0,"4"
"31",1970,"Graduate","Together",40548,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,44,120,1,1,2,1,"1"
"32",1952,"Postgraduate","Divorced",46610,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,62,324,1,0,2,1,"4"
"33",1946,"Postgraduate","Married",68657,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,68,1264,0,1,1,0,"3"
"34",1951,"Postgraduate","Single",49389,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,63,66,1,0,2,0,"4"
"35",1970,"Postgraduate","Married",67353,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,44,921,1,1,2,0,"2"
"36",1976,"Undergraduate","Married",23718,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,38,88,1,1,2,0,"1"
"37",1973,"Graduate","Widow",42429,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,41,67,1,0,1,0,"4"
"38",1943,"Postgraduate","Divorced",48948,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,70,951,0,0,0,1,"3"
"39",1980,"Graduate","Married",80011,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,34,1573,1,1,2,0,"2"
"40",1985,"Postgraduate","Married",20559,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,29,53,1,1,2,0,"1"
"41",1957,"Graduate","Together",21994,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,57,23,1,1,2,0,"1"
"42",1975,"Postgraduate","Married",7500,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,39,33,1,1,2,0,"1"
"43",1976,"Graduate","Single",79941,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,38,1014,0,0,0,0,"3"
"44",1996,"Undergraduate","Married",7500,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,18,144,0,1,1,1,"1"
"45",1968,"Graduate","Together",41728,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,46,60,1,1,2,0,"1"
"46",1954,"Postgraduate","Married",72550,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,60,1357,1,1,3,0,"2"
"47",1957,"Graduate","Widow",65486,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,57,574,1,0,1,0,"4"
"48",1964,"Postgraduate","Married",79143,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,50,1860,0,1,1,0,"3"
"49",1977,"Graduate","Single",35790,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,37,73,1,0,1,0,"4"
"50",1977,"Graduate","Divorced",82582,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,37,1657,0,0,0,1,"3"
"51",1978,"Graduate","Married",66373,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,36,630,1,1,3,0,"2"
"52",1955,"Postgraduate","Together",82384,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,59,2077,0,1,1,1,"3"
"53",1966,"Graduate","Divorced",70287,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,48,1213,0,0,0,1,"3"
"54",1988,"Graduate","Single",27938,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,26,30,1,0,1,0,"4"
"55",1968,"Postgraduate","Married",55954,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,46,518,1,1,2,0,"2"
"56",1982,"Postgraduate","Single",75777,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,32,1451,0,0,0,1,"3"
"57",1975,"Graduate","Together",66653,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,39,630,1,1,3,0,"2"
"58",1952,"Graduate","Single",61823,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,62,898,1,0,1,0,"4"
"59",1951,"Postgraduate","Widow",67680,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,63,612,1,0,1,0,"4"
"60",1948,"Graduate","Together",70666,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,66,1198,0,1,1,0,"3"
"61",1971,"Graduate","Married",25721,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,43,40,1,1,2,1,"1"
"62",1967,"Graduate","Together",32474,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,47,11,1,1,3,0,"1"
"63",1979,"Undergraduate","Single",88194,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,35,1298,1,0,1,1,"3"
"64",1958,"Graduate","Together",69096,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,56,735,1,1,2,0,"2"
"65",1970,"Graduate","Together",74854,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,44,1591,1,1,4,0,"2"
"66",1954,"Postgraduate","Married",66991,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,60,1313,0,1,1,0,"3"
"67",1959,"Graduate","Married",65031,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,55,900,1,1,2,0,"2"
"68",1975,"Postgraduate","Married",60631,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,39,667,1,1,3,1,"2"
"69",1952,"Graduate","Married",28332,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,62,80,0,1,1,0,"4"
"70",1977,"Graduate","Divorced",40246,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,37,14,1,0,1,0,"4"
"71",1972,"Postgraduate","Married",75251,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,42,1908,0,1,1,1,"3"
"72",1976,"Graduate","Single",75825,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,38,2314,0,0,0,1,"3"
"73",1976,"Undergraduate","Together",26326,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,38,21,0,1,1,0,"1"
"74",1965,"Graduate","Together",56046,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,49,692,0,1,1,1,"3"
"75",1985,"Graduate","Single",29760,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,29,170,1,0,1,0,"4"
"76",1969,"Graduate","Married",26304,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,45,16,1,1,2,0,"1"
"77",1973,"Undergraduate","Married",23559,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,41,79,1,1,2,0,"1"
"78",1963,"Postgraduate","Together",38620,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,51,340,0,1,1,0,"4"
"79",1987,"Graduate","Divorced",81361,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,27,843,0,0,0,0,"3"
"80",1960,"Graduate","Married",29440,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,54,60,1,1,3,0,"2"
"81",1970,"Postgraduate","Married",36138,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,44,151,1,1,3,1,"2"
"82",1957,"Graduate","Single",50388,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,57,375,1,0,1,1,"4"
"83",1973,"Graduate","Married",79593,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,41,1499,0,1,1,1,"3"
"84",1967,"Graduate","Together",54178,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,47,194,1,1,2,0,"2"
"85",1972,"Postgraduate","Single",42394,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,42,33,1,0,1,0,"4"
"86",1970,"Postgraduate","Married",23626,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,44,43,1,1,2,0,"2"
"87",1983,"Graduate","Married",30096,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,31,50,1,1,2,0,"1"
"88",1960,"Graduate","Widow",47916,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,54,606,1,0,1,1,"4"
"89",1972,"Graduate","Divorced",51813,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,42,64,1,0,2,0,"4"
"90",1951,"Undergraduate","Married",78497,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,63,978,0,1,1,1,"3"
"91",1983,"Postgraduate","Married",50150,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,31,471,0,1,1,0,"4"
"92",1960,"Undergraduate","Single",47823,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,54,73,1,0,1,0,"4"
"93",1959,"Postgraduate","Single",34554,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,55,55,1,0,1,0,"4"
"94",1979,"Graduate","Together",85693,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,35,1301,1,1,2,0,"2"
"95",1945,"Postgraduate","Married",65846,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,69,1160,0,1,1,0,"3"
"96",1959,"Graduate","Married",87195,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,55,1123,0,1,1,1,"3"
"97",1979,"Undergraduate","Together",24594,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,35,29,1,1,2,0,"1"
"98",1964,"Graduate","Married",49096,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,50,188,1,1,3,0,"2"
"99",1969,"Graduate","Married",52413,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,45,1008,1,1,3,0,"2"
"100",1978,"Graduate","Single",38557,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,36,149,1,0,1,0,"4"
"101",1960,"Postgraduate","Married",89058,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,54,872,0,1,1,0,"3"
"102",1979,"Graduate","Together",77298,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,35,1004,1,1,2,0,"2"
"103",1991,"Postgraduate","Single",68126,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,23,1871,0,0,0,1,"3"
"104",1963,"Postgraduate","Together",57288,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,51,608,1,1,2,1,"2"
"105",1991,"Graduate","Single",86037,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,23,750,0,0,0,1,"3"
"106",1980,"Postgraduate","Married",43974,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,34,551,1,1,2,0,"2"
"107",1962,"Graduate","Single",50785,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,52,115,1,0,2,0,"4"
"108",1970,"Graduate","Married",90765,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,44,1806,0,1,1,1,"3"
"109",1978,"Undergraduate","Married",36550,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,36,680,1,1,2,0,"1"
"110",1967,"Undergraduate","Together",30753,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,47,90,1,1,3,0,"1"
"111",1969,"Graduate","Together",21918,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,45,38,1,1,2,0,"1"
"112",1953,"Postgraduate","Together",56129,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,61,732,1,1,2,0,"2"
"113",1967,"Postgraduate","Single",32557,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,47,84,1,0,1,1,"4"
"114",1985,"Postgraduate","Married",19510,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,29,34,1,1,3,0,"1"
"115",1976,"Graduate","Divorced",30992,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,38,46,1,0,1,0,"4"
"116",1983,"Graduate","Single",101970,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,31,1207,0,0,0,1,"3"
"117",1965,"Undergraduate","Together",71488,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,49,587,0,1,1,0,"3"
"118",1984,"Graduate","Single",79607,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,30,1923,0,0,0,1,"3"
"119",1953,"Postgraduate","Married",54348,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,61,90,1,1,3,0,"2"
"120",1956,"Postgraduate","Together",77376,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,58,673,1,1,3,0,"2"
"121",1952,"Graduate","Married",62998,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,62,552,1,1,2,0,"2"
"122",1958,"Postgraduate","Alone",61331,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,56,637,1,0,2,0,"4"
"123",1969,"Graduate","Married",73448,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,45,766,0,1,1,0,"3"
"124",1964,"Postgraduate","Married",41551,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,50,279,1,1,3,0,"2"
"125",1967,"Postgraduate","Together",62981,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,47,1526,0,1,1,1,"3"
"126",1976,"Undergraduate","Divorced",9548,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,38,35,1,0,1,0,"4"
"127",1959,"Postgraduate","Married",33762,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,55,106,1,1,4,0,"2"
"128",1973,"Postgraduate","Alone",35860,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,41,51,1,0,2,1,"4"
"129",1965,"Postgraduate","Divorced",36921,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,49,39,1,0,2,0,"4"
"130",1992,"Postgraduate","Single",92859,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,22,2138,0,0,0,0,"3"
"131",1976,"Postgraduate","Together",65104,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,38,1073,1,1,2,1,"2"
"132",1962,"Graduate","Married",86111,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,52,1425,0,1,1,0,"3"
"133",1974,"Postgraduate","Single",68352,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,40,904,1,0,1,0,"4"
"134",1988,"Graduate","Together",41883,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,26,328,1,1,2,0,"1"
"135",1976,"Graduate","Married",59809,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,38,918,1,1,3,0,"2"
"136",1975,"Graduate","Married",23957,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,39,79,1,1,2,1,"1"
"137",1981,"Graduate","Together",38547,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,33,23,1,1,2,0,"1"
"138",1973,"Undergraduate","Married",35688,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,41,212,1,1,4,0,"1"
"139",1966,"Postgraduate","Married",49605,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,48,147,0,1,1,0,"4"
"140",1953,"Postgraduate","Married",59354,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,61,472,1,1,3,0,"2"
"141",1969,"Graduate","Married",65747,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,45,473,1,1,2,1,"2"
"142",1972,"Undergraduate","Together",46344,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,42,449,1,1,2,0,"1"
"143",1988,"Graduate","Alone",34176,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,26,103,1,0,1,0,"4"
"144",1952,"Postgraduate","Together",61010,0,1,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,62,1021,1,1,2,0,"2"
"145",1949,"Graduate","Together",69372,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,65,1394,0,1,1,1,"3"
"146",1958,"Graduate","Single",49967,0,1,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,56,318,1,0,1,0,"4"
"147",1978,"Graduate","Single",60199,1,2,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,36,18,1,0,3,0,"1"
"148",1977,"Graduate","Together",55375,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,37,190,1,1,2,0,"1"
"149",1955,"Graduate","Single",80317,0,0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,59,1322,0,0,0,0,"3"
"150",1958,"Postgraduate","Single",30523,2,1,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56,13,1,0,3,0,"4"
"151",1945,"Postgraduate","Married",70356,0,0,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,69,1722,0,1,1,0,"3"
"152",1984,"Graduate","Married",23228,1,0,2014-01-05,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,30,125,1,1,2,0,"1"
